NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2016-11-16 using PALFA Known_Pulsars database
# Contains only sources with DM > 0 and period > 0
1;J0006+1834;1.52;18.583056;0.693748;12.0;
2;B0011+47;3.573958;47.775944;1.240699;30.85;
3;B0021-72C;5.959805;-72.075415;0.005757;24.6;
4;B0021-72D;6.057831;-72.078845;0.005358;24.73;
5;B0021-72E;6.046265;-72.088927;0.003536;24.23;
6;B0021-72F;6.016058;-72.078557;0.002624;24.38;
7;B0021-72G;6.033161;-72.077692;0.00404;24.44;
8;B0021-72H;6.027922;-72.068554;0.00321;24.36;
9;B0021-72I;6.033054;-72.077686;0.003485;24.42;
10;B0021-72J;5.997531;-72.066331;0.002101;24.58;
11;B0021-72L;6.015713;-72.082476;0.004346;24.38;
12;B0021-72M;5.977032;-72.091872;0.003677;24.42;
13;B0021-72N;6.038277;-72.074689;0.003054;24.56;
14;J0024-7204O;6.01938;-72.081599;0.002643;24.36;
15;J0024-7204P;6.025;-72.066667;0.003643;24.3;
16;J0024-7204Q;6.068705;-72.073654;0.004033;24.29;
17;J0024-7204R;6.020833;-72.066667;0.00348;24.4;
18;J0024-7204S;6.016575;-72.078428;0.00283;24.35;
19;J0024-7204T;6.035617;-72.077479;0.007588;24.39;
20;J0024-7204U;6.04098;-72.066577;0.004343;24.34;
21;J0024-7204V;6.020833;-72.066667;0.00481;24.1;
22;J0024-7204W;6.020833;-72.066667;0.002352;24.3;
23;J0026+6320;6.708333;63.333333;0.318358;230.31;
24;J0030+0451;7.614296;4.861031;0.004865;4.33;
25;B0031-07;8.536917;-7.364833;0.942951;11.38;
26;J0034-0534;8.590951;-5.576839;0.001877;13.76;
27;B0037+56;10.134844;57.273587;1.118225;92.59;
28;J0045-7042;11.357042;-70.701972;0.632336;70.0;
29;J0045-7319;11.3965;-73.3175;0.926276;105.4;
30;B0045+33;12.141603;34.202231;1.217094;39.94;
31;J0051+0423;12.875417;4.380278;0.354732;13.9;
32;B0052+51;13.939076;51.29027;2.115171;44.12;
33;B0053+47;14.106303;47.936263;0.472037;18.09;
